congress,session,chamber,period,total_votes,missed_votes,percent,percentile,period_start,period_end,pctile25,pctile50,pctile75,pctile90
92,1971,h,0,22,2,9.09090909091,25.0,1971-01-21,1971-03-31,7.95454545455,15.9090909091,24.1883116883,26.8181818182
92,1971,h,1,90,14,15.5555555556,25.0,1971-04-01,1971-06-30,13.3333333333,20.2777777778,30.6818181818,40.9090909091
92,1971,h,2,72,1,1.38888888889,0.0,1971-07-01,1971-09-30,2.43055555556,3.47222222222,11.3339552239,24.2350746269
92,1971,h,3,132,8,6.06060606061,0.0,1971-10-04,1971-12-16,9.97379813169,12.8360674413,22.1416083916,36.0874125874
92,1972,h,0,64,5,7.8125,25.0,1972-01-18,1972-03-29,7.04985119048,15.0173611111,22.2222222222,22.2222222222
92,1972,h,1,113,4,3.53982300885,0.0,1972-04-11,1972-06-30,12.8318584071,20.1267639321,26.278957529,29.7972972973
92,1972,h,2,100,6,6.0,25.0,1972-07-17,1972-09-28,5.25757575758,10.4468085106,17.6919518964,22.7289546716
92,1972,h,3,50,2,4.0,0.0,1972-10-02,1972-10-18,4.0,4.0,9.77083333333,20.1583333333
93,1973,h,0,35,1,2.85714285714,14.2857142857,1973-01-03,1973-03-29,4.28571428571,11.4285714286,19.6428571429,27.5714285714
93,1973,h,1,186,11,5.91397849462,28.5714285714,1973-04-02,1973-06-30,5.36340635961,6.3829787234,16.3210445469,23.3333333333
93,1973,h,2,130,1,0.769230769231,0.0,1973-07-10,1973-09-26,1.15384615385,5.38461538462,8.52764423077,16.03625
93,1973,h,3,180,5,2.77777777778,0.0,1973-10-01,1973-12-21,7.557592116,10.0,13.9669163546,27.3491219808
93,1974,h,0,77,2,2.5974025974,0.0,1974-01-21,1974-03-28,9.09090909091,10.3896103896,13.8157894737,22.980177717
93,1974,h,1,167,7,4.19161676647,0.0,1974-04-01,1974-06-28,9.49211045365,11.377245509,16.948942352,19.9087474157
93,1974,h,2,148,10,6.75675675676,28.5714285714,1974-07-01,1974-09-30,6.15615615616,10.3448275862,15.3494874185,23.154387264
93,1974,h,3,139,14,10.071942446,57.1428571429,1974-10-01,1974-12-20,5.72001233426,7.85714285714,10.3551201592,17.5258358663
94,1975,h,0,68,4,5.88235294118,58.3333333333,1975-01-14,1975-03-26,2.57352941176,3.69841966637,10.6226679104,17.2767857143
94,1975,h,1,194,16,8.24742268041,66.6666666667,1975-04-01,1975-06-26,3.5579684135,5.79412212578,11.2636920103,20.4927884615
94,1975,h,2,146,10,6.84931506849,50.0,1975-07-08,1975-09-30,3.76712328767,6.50684931507,9.93150684932,20.1497064579
94,1975,h,3,190,16,8.42105263158,41.6666666667,1975-10-01,1975-12-19,1.84908169201,8.51160158461,13.2168286702,15.8364640884
94,1976,h,0,106,4,3.77358490566,25.0,1976-01-19,1976-03-31,3.54447439353,5.23403483309,11.4285714286,13.0296495957
94,1976,h,1,267,10,3.74531835206,15.3846153846,1976-04-01,1976-06-30,4.11985018727,7.7868852459,14.3396226415,23.7348052967
94,1976,h,2,280,7,2.5,15.3846153846,1976-07-01,1976-09-30,2.87769784173,3.23741007194,14.2857142857,32.0448179272
94,1976,h,3,7,0,0.0,0.0,1976-10-01,1976-10-01,0.0,0.0,14.2857142857,40.0
95,1977,h,0,95,8,8.42105263158,55.5555555556,1977-01-04,1977-03-31,3.25,5.58132343847,10.75,14.998989899
95,1977,h,1,264,34,12.8787878788,72.2222222222,1977-04-04,1977-06-30,4.77069056405,7.96296296296,12.8426115083,17.6348811498
95,1977,h,2,193,6,3.10880829016,27.7777777778,1977-07-11,1977-09-30,1.9135657089,5.32994923858,9.17201906143,16.5388037051
95,1977,h,3,133,4,3.00751879699,27.7777777778,1977-10-03,1977-12-15,1.87128268432,7.63536748849,10.3358208955,15.8630659449
95,1978,h,0,149,3,2.01342281879,22.2222222222,1978-01-19,1978-03-22,2.18120805369,6.37583892617,12.598536036,20.8942499547
95,1978,h,1,299,6,2.00668896321,11.1111111111,1978-04-03,1978-06-29,2.8389261745,9.45076016984,23.4008215962,45.5115802853
95,1978,h,2,308,3,0.974025974026,11.1111111111,1978-07-10,1978-09-29,3.10357675112,9.0317794788,17.0430394617,46.2251655629
95,1978,h,3,74,6,8.10810810811,50.0,1978-10-04,1978-10-14,4.0,7.62548262548,25.5416666667,51.9817351598
96,1979,h,0,63,0,0.0,0.0,1979-01-15,1979-03-29,0.0,1.5873015873,10.4215456674,27.4193548387
96,1979,h,1,217,8,3.6866359447,37.5,1979-04-02,1979-06-28,2.38636363636,5.48910766653,10.5740503628,19.7746478873
96,1979,h,2,198,3,1.51515151515,25.0,1979-07-10,1979-09-28,1.38888888889,3.0303030303,10.0112803158,20.5987721583
96,1979,h,3,190,15,7.89473684211,45.8333333333,1979-10-09,1979-12-20,5.41737408036,7.89473684211,11.7265385686,24.4599018003
96,1980,h,0,148,5,3.37837837838,16.6666666667,1980-01-22,1980-03-31,4.56081081081,7.22306813856,14.1591077379,21.1164736165
96,1980,h,1,196,2,1.02040816327,4.16666666667,1980-04-01,1980-06-27,2.56083202512,6.95120016919,12.0678033307,19.8202720207
96,1980,h,2,189,8,4.2328042328,41.6666666667,1980-07-01,1980-09-30,3.03540264273,4.6875,13.2114507685,18.700986701
96,1980,h,3,67,3,4.4776119403,37.5,1980-10-01,1980-12-15,2.61194029851,8.9552238806,16.4179104478,28.9552238806
97,1981,h,0,15,0,0.0,0.0,1981-01-05,1981-03-26,0.0,6.66666666667,6.66666666667,25.3333333333
97,1981,h,1,89,4,4.49438202247,35.2941176471,1981-04-07,1981-06-26,3.37078651685,6.74157303371,10.9550561798,15.9834689397
97,1981,h,2,105,3,2.85714285714,44.1176470588,1981-07-08,1981-09-24,0.943396226415,2.85714285714,8.96226415094,10.205327414
97,1981,h,3,140,9,6.42857142857,55.8823529412,1981-10-01,1981-12-16,2.28873239437,5.65378084107,9.07696177062,16.8175182482
97,1982,h,0,48,7,14.5833333333,88.2352941176,1982-02-09,1982-03-31,0.0,4.16666666667,7.8125,13.3333333333
97,1982,h,1,119,1,0.840336134454,17.6470588235,1982-04-01,1982-06-24,0.840336134454,4.6218487395,9.89353368466,13.813559322
97,1982,h,2,192,23,11.9791666667,85.2941176471,1982-07-13,1982-09-30,2.0725388601,4.14507772021,7.41377914508,14.8715277778
97,1982,h,3,99,13,13.1313131313,82.3529411765,1982-10-01,1982-12-21,2.28818800247,6.06060606061,10.1783137497,20.101010101
98,1983,h,0,43,4,9.3023255814,69.5652173913,1983-01-03,1983-03-24,2.32558139535,6.97674418605,11.8355481728,16.2790697674
98,1983,h,1,182,7,3.84615384615,39.1304347826,1983-04-12,1983-06-30,1.7925444721,4.94505494505,9.27883576654,15.0837988827
98,1983,h,2,130,8,6.15384615385,69.5652173913,1983-07-12,1983-09-30,0.966010733453,3.46153846154,6.18962432916,10.0721153846
98,1983,h,3,143,16,11.1888111888,76.0869565217,1983-10-04,1983-11-18,1.57342657343,4.56022850389,10.1558652615,12.9838471388
98,1984,h,0,52,2,3.84615384615,52.1739130435,1984-01-24,1984-03-29,0.0,3.77358490566,9.43396226415,19.9746008708
98,1984,h,1,221,27,12.2171945701,76.0869565217,1984-04-03,1984-06-29,2.69058295964,7.39910313901,11.6246928747,16.4427896029
98,1984,h,2,95,0,0.0,0.0,1984-07-21,1984-09-26,1.05263157895,3.15789473684,6.50420757363,14.2105263158
98,1984,h,3,36,3,8.33333333333,50.0,1984-10-01,1984-10-11,0.0,6.94444444444,13.1944444444,21.0714285714
99,1985,h,0,36,2,5.55555555556,31.914893617,1985-01-03,1985-03-28,2.77777777778,8.33333333333,11.1111111111,16.6666666667
99,1985,h,1,154,9,5.84415584416,63.829787234,1985-04-02,1985-06-27,1.62337662338,3.24675324675,7.79220779221,11.8181818182
99,1985,h,2,101,10,9.90099009901,78.7234042553,1985-07-09,1985-09-26,0.990099009901,4.0,8.49584958496,12.9752975298
99,1985,h,3,148,7,4.72972972973,55.3191489362,1985-10-01,1985-12-19,1.68918918919,4.05405405405,6.7797389226,9.222283508
99,1986,h,0,61,2,3.27868852459,34.0425531915,1986-01-23,1986-03-20,1.6393442623,4.91803278689,9.83606557377,16.393442623
99,1986,h,1,128,9,7.03125,74.4680851064,1986-04-09,1986-06-26,0.78125,2.34375,6.25,8.62192622951
99,1986,h,2,201,16,7.96019900498,70.2127659574,1986-07-15,1986-09-30,0.497512437811,2.0725388601,8.9552238806,11.9097977449
99,1986,h,3,60,2,3.33333333333,57.4468085106,1986-10-01,1986-10-17,0.0,1.66666666667,6.72316384181,17.3333333333
100,1987,h,0,39,4,10.2564102564,78.1818181818,1987-01-06,1987-03-31,0.0,2.5641025641,5.19568151147,16.9230769231
100,1987,h,1,185,20,10.8108108108,89.2857142857,1987-04-01,1987-06-30,1.06951871658,2.94117647059,6.48648648649,10.7529989883
