KING, STEVE (R)
HURT, ROBERT (R)
PEARCE, STEVAN (R)
HULTGREN, RANDY M. (R)
TIPTON, SCOTT R. (R)
DIAZ-BALART, MARIO (R)
PETRI, THOMAS E. (R)
BENISHEK, DAN (R)
CAMP, DAVE (R)
AMODEI, MARK E. (R)
ROYCE, EDWARD R. (R)
TERRY, LEE (R)
AMASH, JUSTIN (R)
MICA, JOHN L. (R)
Kirkpatrick, Ann (D)
KINZINGER, ADAM (R)
ISSA, DARRELL E. (R)
PITTS, JOSEPH R. (R)
GARRETT, SCOTT (R)
ROSKAM, PETER J. (R)
JOYCE, DAVID P. (R)
BENTIVOLIO, KERRY L. (R)
FORBES, J. RANDY (R)
Barber, Ron (D)
Gallego, Pete P. (D)
TURNER, MICHAEL R. (R)
RYAN, PAUL (R)
MCKEON, ’BUCK’ (R)
Murphy, Patrick (D)
HANNA, RICHARD L. (R)
REED, ’TOM’
WALBERG, TIM (R)
WOLF, FRANK R. (R)
GRIMM, MICHAEL G. (R)
HERRERA BEUTLER, JAIME (R)
ROGERS, MIKE (R)
DENT, CHARLES W. (R)
KLINE, JOHN (R)
RIGELL, E. SCOTT (R)
Bishop, Timothy H. (D)
MEEHAN, PATRICK L. (R)
PAULSEN, ERIK (R)
GERLACH, JIM (R)
DUFFY, SEAN P. (R)
RIBBLE, REID J. (R)
ROS-LEHTINEN, ILEANA (R)
YOUNG, C. W. BILL (R)
Walz, Timothy J. (D)
Ruiz, Raul (D)
REICHERT, DAVID G. (R)
DENHAM, JEFF (R)
UPTON, FRED (R)
FITZPATRICK, MICHAEL (R)
Garcia, Jose Antonio ’Joe’ (D)
KING, PETER T. (R)
RUNYAN, JON (R)
Shea-Porter, Carol (D)
Sinema, Kyrsten (D)
Bera, Ami (D)
Maloney, Sean Patrick (D)
HECK, JOSEPH J. (R)
Israel, Steve J. (D)
LATHAM, TOM (R)
DAVIS, RODNEY (R)
Owens, William L. ’Bill’ (D)
Schrader, Kurt (D)
Enyart, William L. (D)
COFFMAN, MIKE (R)
GIBSON, CHRISTOPHER (R)
Nolan, Richard M. (D)
LOBIONDO, FRANK A. (R)
VALADAO, DAVID G. (R)
DeFazio, Peter A. (D)
Peters, Scott H. (D)
Michaud, Michael H. (D)
Esty, Elizabeth H. (D)
Kuster, Ann McLane (D)
Frankel, Lois (D)
McCarthy, Carolyn (D)
Garamendi, John (D)
DelBene, Suzan K. (D)
Brownley, Julia (D)
Tierney, John F. (D)
Horsford, Steven A. (D)
Delaney, John K. (D)
Yarmuth, John A. (D)
Capps, Lois (D)
Cartwright, Matthew A. (D)
Loebsack, Dave (D)
Keating, William Richard (D)
Cooper, Jim (D)
Maffei, Daniel B. (D)
Himes, James A. (D)
Hinojosa, Ruben (D)
Kind, Ron (D)
Lipinski, Daniel William (D)
Kilmer, Derek (D)
Heck, Denny (D)
Braley, Bruce L. (D)
Perlmutter, Ed (D)
Lowey, Nita M. (D)
Courtney, Joe (D)
MILLER, GARY G. (R)
