"","id","missed_votes","last_name","first_name","swing","combined_name","state"
"1",400257,414,"McCarthy","Carolyn",FALSE,"McCarthy, Carolyn","NY"
"2",412011,277,"Campbell","John",FALSE,"Campbell, John","CA"
"3",412486,264,"Herrera Beutler","Jaime",TRUE,"Herrera Beutler, Jaime","WA"
"4",400253,203,"Markey","Edward",FALSE,"Markey, Edward","MA"
"5",400350,183,"Rush","Bobby",FALSE,"Rush, Bobby","IL"
"6",400439,177,"Young","Bill",TRUE,"Young, Bill","FL"
"7",412559,147,"Horsford","Steven",FALSE,"Horsford, Steven","NV"
"8",400184,134,"Holt","Rush",FALSE,"Holt, Rush","NJ"
"9",400277,108,"Miller","Gary",FALSE,"Miller, Gary","CA"
"10",400163,102,"Gutiérrez","Luis",FALSE,"Gutiérrez, Luis","IL"
"11",412518,87,"Negrete McLeod","Gloria",FALSE,"Negrete McLeod, Gloria","CA"
"12",400249,86,"Lynch","Stephen",FALSE,"Lynch, Stephen","MA"
"13",400440,84,"Young","Don",FALSE,"Young, Don","AK"
"14",400076,83,"Coble","Howard",FALSE,"Coble, Howard","NC"
"15",400308,81,"Pallone","Frank",FALSE,"Pallone, Frank","NJ"
"16",400162,79,"Grijalva","Raúl",FALSE,"Grijalva, Raúl","AZ"
"17",400278,69,"Miller","George",FALSE,"Miller, George","CA"
"18",400373,68,"Shimkus","John",FALSE,"Shimkus, John","IL"
"19",412283,66,"Hunter","Duncan",FALSE,"Hunter, Duncan","CA"
"20",400170,64,"Hastings","Alcee",FALSE,"Hastings, Alcee","FL"
"21",400641,64,"Higgins","Brian",FALSE,"Higgins, Brian","NY"
"22",400089,60,"Culberson","John",FALSE,"Culberson, John","TX"
"23",412432,59,"Richmond","Cedric",FALSE,"Richmond, Cedric","LA"
"24",400185,58,"Honda","Michael",FALSE,"Honda, Michael","CA"
"25",400179,57,"Hinojosa","Rubén",FALSE,"Hinojosa, Rubén","TX"
"26",400343,57,"Rohrabacher","Dana",FALSE,"Rohrabacher, Dana","CA"
